,data_name,stage,model,score,data_f1_mean,data_f1_stde,kb_f1_mean,kb_f1_stde,bal_f1_mean,bal_f1_stde
36,dixit,init,MLP,neural,0.27963738761264184,0.0027951609183967108,0.274387094203366,0.0038508693775149982,0.2773525849032502,0.001251328959394199
37,dixit,data_only,MLP,neural,0.41364451564291116,0.004045319848326151,0.1989142304098678,0.0022491391463073107,0.22733505309106472,0.0025617912022129347
38,dixit,ABL1_refl,MLP,neural,0.4285591975852391,0.00037148703117603765,0.3328761441996265,0.00029377377776781954,0.3637557959016547,0.0002453823790519172
39,dixit,ABL1_refine,MLP,neural,0.4285591975852391,0.00037148703117603765,0.6501477560034012,0.00035187868878777673,0.48088130506129273,0.0003894362812514873
40,dixit,ABL2_refl,MLP,neural,0.4139090022770292,0.002449456835512759,0.65611049887742,0.000580528547351189,0.46647480193120094,0.002486396019103748
41,dixit,ABL2_refine,MLP,neural,0.4139090022770292,0.002449456835512759,0.6577515244226673,0.0008181331819803184,0.46657395231543614,0.0024727941485706006
42,dixit,init,MLP,integrated,0.28222995753532476,0.003810909835387455,0.35525928913121474,0.0037147053020352427,0.30648050496972074,0.00264918916657364
43,dixit,data_only,MLP,integrated,0.42273288249770236,0.00044301733853571723,0.4107113745179654,0.0005774039635295658,0.4164076358609332,0.00016407120910086337
44,dixit,ABL1_refl,MLP,integrated,0.40956548696579437,0.0015467261471728833,0.45960125913932137,0.009166989448898738,0.4308463463398239,0.002741199229958663
45,dixit,ABL1_refine,MLP,integrated,0.4106840268454878,0.0012802106432141525,0.6641578957604667,0.000609412163295131,0.4636316421241693,0.0013134280977840085
46,dixit,ABL2_refl,MLP,integrated,0.4099462470515295,0.0009690941748428938,0.6645270940983501,0.00027494871317562675,0.46291306476319255,0.0010202623928043386
47,dixit,ABL2_refine,MLP,integrated,0.40985446437903017,0.0009145237546649421,0.6653980964950315,0.0002677452058443275,0.4628674919710295,0.0009638682931787657
48,adamson,init,GNN,neural,0.28142225056463493,0.003042022101244768,0.29718878814777194,0.002097361179739743,0.2886945758167854,0.0017596093436021976
49,adamson,data_only,GNN,neural,0.57156059218211,0.00029071593964524745,0.3617515449023241,0.001141875329897346,0.4075890319770178,0.0011787533303368458
50,adamson,ABL1_refl,GNN,neural,0.5499701903048815,0.0014544047405314342,0.39624408007407175,0.0022112398394177335,0.43934091627460076,0.0020936167917337545
51,adamson,ABL1_refine,GNN,neural,0.5499701903048815,0.0014544047405314342,0.6190607855946442,0.004497227527577752,0.5785300937698434,0.00111311422953575
52,adamson,ABL2_refl,GNN,neural,0.5493411383573292,0.00208345668808374,0.6176960236151712,0.003132465548104757,0.5778374846990264,0.0006286778455937836
53,adamson,ABL2_refine,GNN,neural,0.5493411383573292,0.00208345668808374,0.6270004066644808,0.004692423154683822,0.5813417144997954,0.0020902590398108045
54,adamson,init,GNN,integrated,0.2911947115080109,0.004031666581554433,0.3695976617272828,0.001936234360086747,0.3170140302173727,0.003349999407753157
55,adamson,data_only,GNN,integrated,0.5442718918457013,0.0006731932634111981,0.4426865205162114,0.0010193519374386006,0.47849486686113596,0.0007971875069173462
56,adamson,ABL1_refl,GNN,integrated,0.45742556826215913,0.08435315310458252,0.6320220062612782,0.17471934639844658,0.4625944810032107,0.03583684879691845
57,adamson,ABL1_refine,GNN,integrated,0.5061201856181132,0.035207159164445306,0.6451625844284992,0.011513360418350105,0.5499099658480291,0.02743797114163904
58,adamson,ABL2_refl,GNN,integrated,0.5391193463084674,0.002207998474091144,0.6364204933535527,0.002771269343403604,0.5758220122230928,0.0013932795825515876
59,adamson,ABL2_refine,GNN,integrated,0.5393526197751719,0.0020416363374266,0.6450587076213627,0.00532077118058033,0.5790587357958364,0.0023466249988385313
60,adamson,init,MLP,neural,0.2806917161578818,0.006587172869075758,0.29545385476827035,0.005793330750898634,0.2875038729768783,0.006263080551550282
61,adamson,data_only,MLP,neural,0.45097396302622667,0.003562554980904631,0.25355183695361694,0.0013425745188635207,0.2880747064919249,0.0015523237529638245
62,adamson,ABL1_refl,MLP,neural,0.47337789522031215,0.001784326794552843,0.32915156670936396,0.0010801466277656213,0.36691231669735236,0.0010001372648511808
63,adamson,ABL1_refine,MLP,neural,0.47337789522031215,0.001784326794552843,0.6268228726342602,0.000760385215396453,0.5203908944088826,0.001450208808828679
64,adamson,ABL2_refl,MLP,neural,0.4683647533287711,0.004341468950616489,0.6272527248894233,0.0009020241609151158,0.5159754583309885,0.003751383125243035
65,adamson,ABL2_refine,MLP,neural,0.4683647533287711,0.004341468950616489,0.6363306884925721,0.004443420869800874,0.5175355111000798,0.003590511046540623
66,adamson,init,MLP,integrated,0.2904837579214984,0.004590996255177282,0.36721701784263755,0.004493998854379733,0.3161461793837582,0.004729975760593863
67,adamson,data_only,MLP,integrated,0.46746009069212674,0.001869262038524555,0.3982881990929486,0.001443622719921045,0.42471816869944695,0.0007725264635243256
68,adamson,ABL1_refl,MLP,integrated,0.45452850307944753,0.004993092046744363,0.47537110583167397,0.009738782745314922,0.46326418727070207,0.0020400366216612453
69,adamson,ABL1_refine,MLP,integrated,0.45342341327690083,0.003235784269911335,0.656562163556797,0.0032584154095687268,0.5058413777468198,0.0027787145429136184
70,adamson,ABL2_refl,MLP,integrated,0.45227609674061353,0.0038366380647979204,0.6574562571939528,0.0024991967006186,0.5048132196734708,0.003466763056867217
71,adamson,ABL2_refine,MLP,integrated,0.4540686673858123,0.0025370940893045535,0.6622148134429284,0.0003280564349508186,0.5070653756918557,0.0024272351011637716
72,ecoli,init,GNN,neural,0.2936605141749308,0.0034421242795775187,0.20852461641345016,0.001513336485111455,0.23170972934252798,0.0018398226442897514
73,ecoli,data_only,GNN,neural,0.377307695102967,0.0026377351087343015,0.3605307864460894,0.0023858220559400956,0.36890526946319363,0.00119560650415923
74,ecoli,ABL1_refl,GNN,neural,0.3875977980369355,0.005977778947866913,0.3713559926971932,0.026857654505473477,0.3799805208839595,0.015873344575039278
75,ecoli,ABL1_refine,GNN,neural,0.3875977980369355,0.005977778947866913,0.4519594930473685,0.006999442048917698,0.41300122703683095,0.005928850180263373
76,ecoli,ABL2_refl,GNN,neural,0.38777240871898266,0.006443771785842739,0.46680369039768754,0.02347244506589402,0.41240497052673897,0.004223790438634578
77,ecoli,ABL2_refine,GNN,neural,0.38777240871898266,0.006443771785842739,0.5348496274629655,0.006931991992504827,0.4288408649292774,0.006257009158108645
78,ecoli,init,GNN,integrated,0.31512105692810377,0.0006107271718597818,0.3048014539550979,0.00782714525373518,0.30949353225617826,0.004502880606165799
79,ecoli,data_only,GNN,integrated,0.3720842534117945,0.003534856309553913,0.49304081829811586,0.005511995636781508,0.40897515646585414,0.002261492020848993
80,ecoli,ABL1_refl,GNN,integrated,0.3765841976149291,0.01394567694559698,0.46675523881930403,0.03001006468953546,0.40548750817898643,0.004328628874941898
81,ecoli,ABL1_refine,GNN,integrated,0.36300908045472324,0.021355775057582627,0.5455635022366934,0.034127283271825626,0.4050225847546969,0.0179213062551134
