,perturbation,control_idx,deleted_genes,mutated_genes,overexpressed_genes,conditions,Strain,Base Media,Temperature (C),pH,Carbon Source (g/L),Nitrogen Source (g/L),Electron Acceptor,Supplement,Antibiotic for selection,Growth Rate (1/hr)
p1k_00256,"{'b2265': -1, 'b0593': -1}","['p1k_00001', 'p1k_00002', 'p1k_00161', 'p1k_00162', 'p1k_00163', 'p1k_00164', 'p1k_00185', 'p1k_00186', 'p1k_00191', 'p1k_00192']",menF&entC,,,"('MG1655', 'M9', 37, 7.0, 'glucose(4)', 'NH4Cl(1)', 'O2', 'FeCl3 (20 uM) + Na-citrate (10 mM)')",MG1655,M9,37,7.0,glucose(4),NH4Cl(1),O2,FeCl3 (20 uM) + Na-citrate (10 mM),,
p1k_00257,"{'b2265': -1, 'b0593': -1}","['p1k_00041', 'p1k_00042', 'p1k_00070', 'p1k_00071', 'p1k_00072', 'p1k_00092', 'p1k_00093', 'p1k_00125', 'p1k_00126', 'p1k_00127', 'p1k_00128', 'p1k_00129', 'p1k_00130', 'p1k_00131', 'p1k_00143', 'p1k_00146', 'p1k_00147', 'p1k_00148', 'p1k_00155', 'p1k_00157', 'p1k_00159', 'p1k_00317', 'p1k_00318', 'p1k_00357', 'p1k_00358', 'p1k_00389', 'p1k_00390', 'p1k_00395', 'p1k_00396', 'p1k_00401', 'p1k_00402', 'p1k_00407', 'p1k_00408', 'p1k_00413', 'p1k_00414', 'p1k_00421', 'p1k_00422', 'p1k_00423', 'p1k_00424', 'p1k_00431', 'p1k_00432', 'p1k_00437', 'p1k_00438', 'p1k_00882', 'p1k_00883']",menF&entC,,,"('MG1655', 'M9', 37, 7.0, 'glucose(4)', 'NH4Cl(1)', 'O2', nan)",MG1655,M9,37,7.0,glucose(4),NH4Cl(1),O2,,,
p1k_00258,"{'b2265': -1, 'b0593': -1}","['p1k_00041', 'p1k_00042', 'p1k_00070', 'p1k_00071', 'p1k_00072', 'p1k_00092', 'p1k_00093', 'p1k_00125', 'p1k_00126', 'p1k_00127', 'p1k_00128', 'p1k_00129', 'p1k_00130', 'p1k_00131', 'p1k_00143', 'p1k_00146', 'p1k_00147', 'p1k_00148', 'p1k_00155', 'p1k_00157', 'p1k_00159', 'p1k_00317', 'p1k_00318', 'p1k_00357', 'p1k_00358', 'p1k_00389', 'p1k_00390', 'p1k_00395', 'p1k_00396', 'p1k_00401', 'p1k_00402', 'p1k_00407', 'p1k_00408', 'p1k_00413', 'p1k_00414', 'p1k_00421', 'p1k_00422', 'p1k_00423', 'p1k_00424', 'p1k_00431', 'p1k_00432', 'p1k_00437', 'p1k_00438', 'p1k_00882', 'p1k_00883']",menF&entC,,,"('MG1655', 'M9', 37, 7.0, 'glucose(4)', 'NH4Cl(1)', 'O2', nan)",MG1655,M9,37,7.0,glucose(4),NH4Cl(1),O2,,,
p1k_00259,"{'b2265': -1, 'b0593': -1}","['p1k_00041', 'p1k_00042', 'p1k_00070', 'p1k_00071', 'p1k_00072', 'p1k_00092', 'p1k_00093', 'p1k_00125', 'p1k_00126', 'p1k_00127', 'p1k_00128', 'p1k_00129', 'p1k_00130', 'p1k_00131', 'p1k_00143', 'p1k_00146', 'p1k_00147', 'p1k_00148', 'p1k_00155', 'p1k_00157', 'p1k_00159', 'p1k_00317', 'p1k_00318', 'p1k_00357', 'p1k_00358', 'p1k_00389', 'p1k_00390', 'p1k_00395', 'p1k_00396', 'p1k_00401', 'p1k_00402', 'p1k_00407', 'p1k_00408', 'p1k_00413', 'p1k_00414', 'p1k_00421', 'p1k_00422', 'p1k_00423', 'p1k_00424', 'p1k_00431', 'p1k_00432', 'p1k_00437', 'p1k_00438', 'p1k_00882', 'p1k_00883']",menF&entC,,,"('MG1655', 'M9', 37, 7.0, 'glucose(4)', 'NH4Cl(1)', 'O2', nan)",MG1655,M9,37,7.0,glucose(4),NH4Cl(1),O2,,,0.98
p1k_00260,"{'b2265': -1, 'b0593': -1}","['p1k_00041', 'p1k_00042', 'p1k_00070', 'p1k_00071', 'p1k_00072', 'p1k_00092', 'p1k_00093', 'p1k_00125', 'p1k_00126', 'p1k_00127', 'p1k_00128', 'p1k_00129', 'p1k_00130', 'p1k_00131', 'p1k_00143', 'p1k_00146', 'p1k_00147', 'p1k_00148', 'p1k_00155', 'p1k_00157', 'p1k_00159', 'p1k_00317', 'p1k_00318', 'p1k_00357', 'p1k_00358', 'p1k_00389', 'p1k_00390', 'p1k_00395', 'p1k_00396', 'p1k_00401', 'p1k_00402', 'p1k_00407', 'p1k_00408', 'p1k_00413', 'p1k_00414', 'p1k_00421', 'p1k_00422', 'p1k_00423', 'p1k_00424', 'p1k_00431', 'p1k_00432', 'p1k_00437', 'p1k_00438', 'p1k_00882', 'p1k_00883']",menF&entC,,,"('MG1655', 'M9', 37, 7.0, 'glucose(4)', 'NH4Cl(1)', 'O2', nan)",MG1655,M9,37,7.0,glucose(4),NH4Cl(1),O2,,,0.98
p1k_00261,"{'b2265': -1, 'b0593': -1}","['p1k_00001', 'p1k_00002', 'p1k_00161', 'p1k_00162', 'p1k_00163', 'p1k_00164', 'p1k_00185', 'p1k_00186', 'p1k_00191', 'p1k_00192']",menF&entC,,,"('MG1655', 'M9', 37, 7.0, 'glucose(4)', 'NH4Cl(1)', 'O2', 'FeCl3 (20 uM) + Na-citrate (10 mM)')",MG1655,M9,37,7.0,glucose(4),NH4Cl(1),O2,FeCl3 (20 uM) + Na-citrate (10 mM),,0.9
p1k_00262,"{'b2265': -1, 'b0593': -1}","['p1k_00001', 'p1k_00002', 'p1k_00161', 'p1k_00162', 'p1k_00163', 'p1k_00164', 'p1k_00185', 'p1k_00186', 'p1k_00191', 'p1k_00192']",menF&entC,,,"('MG1655', 'M9', 37, 7.0, 'glucose(4)', 'NH4Cl(1)', 'O2', 'FeCl3 (20 uM) + Na-citrate (10 mM)')",MG1655,M9,37,7.0,glucose(4),NH4Cl(1),O2,FeCl3 (20 uM) + Na-citrate (10 mM),,0.9
p1k_00263,"{'b2265': -1, 'b0593': -1}","['p1k_00001', 'p1k_00002', 'p1k_00161', 'p1k_00162', 'p1k_00163', 'p1k_00164', 'p1k_00185', 'p1k_00186', 'p1k_00191', 'p1k_00192']",menF&entC,,,"('MG1655', 'M9', 37, 7.0, 'glucose(4)', 'NH4Cl(1)', 'O2', 'FeCl3 (20 uM) + Na-citrate (10 mM)')",MG1655,M9,37,7.0,glucose(4),NH4Cl(1),O2,FeCl3 (20 uM) + Na-citrate (10 mM),,0.95
p1k_00264,"{'b2265': -1, 'b0593': -1}","['p1k_00001', 'p1k_00002', 'p1k_00161', 'p1k_00162', 'p1k_00163', 'p1k_00164', 'p1k_00185', 'p1k_00186', 'p1k_00191', 'p1k_00192']",menF&entC,,,"('MG1655', 'M9', 37, 7.0, 'glucose(4)', 'NH4Cl(1)', 'O2', 'FeCl3 (20 uM) + Na-citrate (10 mM)')",MG1655,M9,37,7.0,glucose(4),NH4Cl(1),O2,FeCl3 (20 uM) + Na-citrate (10 mM),,0.95
p1k_00265,"{'b2265': -1, 'b0593': -1, 'b4039': -1}","['p1k_00041', 'p1k_00042', 'p1k_00070', 'p1k_00071', 'p1k_00072', 'p1k_00092', 'p1k_00093', 'p1k_00125', 'p1k_00126', 'p1k_00127', 'p1k_00128', 'p1k_00129', 'p1k_00130', 'p1k_00131', 'p1k_00143', 'p1k_00146', 'p1k_00147', 'p1k_00148', 'p1k_00155', 'p1k_00157', 'p1k_00159', 'p1k_00317', 'p1k_00318', 'p1k_00357', 'p1k_00358', 'p1k_00389', 'p1k_00390', 'p1k_00395', 'p1k_00396', 'p1k_00401', 'p1k_00402', 'p1k_00407', 'p1k_00408', 'p1k_00413', 'p1k_00414', 'p1k_00421', 'p1k_00422', 'p1k_00423', 'p1k_00424', 'p1k_00431', 'p1k_00432', 'p1k_00437', 'p1k_00438', 'p1k_00882', 'p1k_00883']",menF&entC&ubiC,,,"('MG1655', 'M9', 37, 7.0, 'glucose(4)', 'NH4Cl(1)', 'O2', nan)",MG1655,M9,37,7.0,glucose(4),NH4Cl(1),O2,,,0.58
