GO_0003676,"{'b4285', 'b0214', 'b1402', 'b1183', 'b0184', 'b2759', 'b0361', 'b4371', 'b3558', 'b2509', 'b4162', 'b1866', 'b0880', 'b2575', 'b3407', 'b0059', 'b2697', 'b0623', 'b3387', 'b1823', 'b0541', 'b0797', 'b0267', 'b0410', 'b2627', 'b1996', 'b0299', 'b1653', 'b1552', 'b1558', 'b1652', 'b1557', 'b3499', 'b1343', 'b3045', 'b0990', 'b3465', 'b3148', 'b2755', 'b0372', 'b1804', 'b2892', 'b2576', 'b0989', 'b3822', 'b1844', 'b3780', 'b0930', 'b2330', 'b2890', 'b3556', 'b3973', 'b1413', 'b0148', 'b2860', 'b1026', 'b2089', 'b1212', 'b2761', 'b1159', 'b3084', 'b4129', 'b3220', 'b4273', 'b3652', 'b2011', 'b1863'}"
GO_0003677,"{'b1735', 'b2820', 'b0683', 'b2105', 'b0272', 'b0440', 'b2087', 'b1994', 'b4201', 'b2759', 'b1860', 'b4349', 'b3569', 'b2442', 'b4241', 'b1274', 'b3558', 'b3863', 'b3635', 'b3884', 'b0330', 'b4259', 'b1275', 'b3778', 'b3700', 'b1374', 'b3391', 'b1403', 'b0892', 'b1146', 'b0506', 'b4191', 'b1931', 'b3218', 'b2798', 'b1913', 'b1620', 'b1450', 'b0232', 'b2561', 'b3582', 'b0912', 'b2921', 'b2231', 'b1618', 'b3418', 'b2634', 'b3461', 'b1114', 'b4295', 'b1545', 'b0768', 'b4366', 'b3066', 'b3699', 'b4187', 'b1439', 'b0796', 'b4046', 'b2411', 'b2220', 'b1331', 'b4043', 'b1349', 'b3422', 'b1988', 'b0447', 'b3842', 'b0890', 'b1625', 'b1438', 'b0629', 'b4300', 'b1422', 'b0340', 'b1608', 'b2761', 'b0846', 'b1357', 'b0315', 'b4273', 'b1863', 'b0956', 'b4285', 'b1997', 'b3773', 'b1610', 'b2125', 'b0361', 'b3237', 'b2837', 'b3987', 'b2509', 'b3292', 'b3410', 'b0880', 'b2819', 'b2735', 'b3387', 'b3025', 'b3912', 'b2961', 'b1749', 'b1712', 'b1552', 'b2699', 'b0081', 'b1557', 'b2706', 'b0274', 'b3935', 'b2754', 'b0990', 'b1512', 'b2213', 'b1892', 'b4479', 'b0146', 'b2709', 'b0413', 'b3068', 'b1530', 'b1799', 'b3743', 'b3129', 'b3131', 'b2516', 'b1649', 'b1499', 'b0544', 'b1027', 'b0949', 'b0472', 'b1853', 'b1370', 'b3220', 'b0357', 'b2669', 'b3961', 'b0603', 'b0989', 'b1013', 'b0640', 'b2894', 'b2079', 'b2356', 'b0708', 'b1595', 'b1507', 'b2847', 'b1432', 'b1564', 'b2554', 'b2783', 'b3905', 'b0566', 'b3183', 'b0537', 'b1951', 'b1147', 'b4172', 'b3226', 'b2248', 'b3954', 'b4135', 'b0460', 'b1558', 'b0076', 'b0080', 'b1969', 'b1141', 'b2394', 'b4118', 'b0254', 'b0373', 'b4501', 'b2648', 'b3604', 'b4225', 'b0467', 'b4063', 'b0483', 'b0208', 'b3556', 'b4357', 'b4340', 'b0706', 'b3044', 'b4278', 'b1827', 'b1861', 'b3555', 'b4113', 'b3406', 'b0435', 'b4052', 'b4636', 'b3669', 'b0564', 'b2193', 'b0338', 'b4498', 'b3680', 'b1658', 'b2624', 'b4361', 'b2531', 'b3649', 'b4396', 'b2192', 'b0184', 'b3897', 'b4178', 'b4059', 'b1130', 'b3405', 'b2684', 'b4365', 'b4089', 'b1961', 'b3019', 'b3295', 'b4347', 'b3261', 'b4272', 'b3400', 'b1303', 'b0016', 'b3574', 'b3105', 'b3755', 'b0889', 'b2664', 'b2184', 'b1987', 'b4284', 'b0535', 'b0582', 'b0610', 'b2622', 'b1320', 'b4389', 'b0021', 'b4260', 'b2916', 'b2127', 'b0346', 'b2869', 'b1569', 'b4224', 'b4299', 'b4251', 'b3438', 'b4000', 'b0256', 'b4133', 'b3060', 'b0714', 'b1284', 'b0442', 'b2364', 'b3908', 'b2782', 'b0316', 'b4293', 'b2860', 'b1960', 'b3094', 'b3118', 'b1790', 'b2088', 'b0069', 'b4351', 'b3119', 'b4401', 'b1145', 'b1239', 'b2381', 'b1111', 'b4313', 'b1399', 'b3071', 'b1731', 'b3243', 'b2157', 'b1633', 'b2405', 'b0656', 'b2707', 'b1922', 'b0540', 'b1221', 'b3702', 'b0006', 'b1187', 'b3484', 'b1000', 'b0439', 'b1477', 'b0995', 'b2831', 'b1770', 'b3075', 'b3357', 'b2667', 'b2017', 'b3868', 'b0988', 'b0281', 'b4393', 'b2805', 'b2755', 'b0464', 'b0228', 'b0215', 'b2731', 'b4004', 'b4312', 'b4350', 'b0264', 'b3938', 'b4212', 'b1099', 'b0691', 'b3021', 'b3067', 'b0226', 'b2349', 'b1642', 'b0064', 'b3512', 'b1356', 'b1384', 'b1916', 'b3585', 'b1328', 'b3813', 'b1140', 'b1402', 'b3030', 'b2808', 'b3262', 'b4348', 'b4324', 'b1339', 'b3811', 'b3963', 'b0730', 'b3934', 'b0278', 'b1237', 'b2577', 'b4327', 'b1823', 'b0541', 'b1891', 'b1531', 'b2861', 'b1914', 'b0799', 'b3505', 'b3283', 'b3181', 'b1166', 'b3988', 'b3684', 'b2491', 'b0305', 'b0225', 'b1323', 'b3188', 'b0761', 'b0966', 'b3082', 'b2741', 'b3822', 'b0020', 'b3641', 'b1040', 'b2409', 'b0840', 'b1526', 'b2733', 'b2399', 'b3753', 'b1452', 'b1240', 'b1299', 'b2101', 'b0470', 'b3481', 'b0694', 'b0399', 'b4102', 'b1340', 'b1689', 'b1594', 'b1864', 'b2427', 'b2382', 'b2369', 'b3507', 'b4711', 'b0504', 'b2030', 'b3375', 'b3501', 'b1570', 'b2839', 'b3520', 'b0259', 'b0705', 'b1508', 'b0900', 'b4480', 'b1334', 'b1996', 'b0620', 'b0345', 'b2537', 'b0812', 'b3264', 'b3516', 'b1014', 'b0113', 'b3045', 'b1162', 'b0924', 'b1842', 'b4710', 'b3319', 'b2822', 'b3872', 'b1659', 'b0687', 'b4390', 'b1893', 'b4385', 'b2980', 'b1201', 'b2450', 'b0552', 'b1460', 'b1404', 'b1158', 'b0800', 'b1921', 'b1696', 'b3521', 'b0676', 'b4018', 'b1345', 'b3701', 'b2852', 'b4058', 'b0962', 'b3202', 'b0461', 'b3652', 'b2011', 'b0298', 'b4062', 'b2316', 'b2289', 'b1559', 'b1183', 'b0360', 'b3445', 'b2714', 'b2846', 'b0779', 'b0551', 'b0546', 'b0471', 'b4170', 'b3711', 'b4264', 'b1808', 'b0059', 'b4398', 'b0623', 'b3828', 'b4124', 'b2982', 'b1434', 'b2437', 'b0294', 'b2760', 'b2217', 'b3906', 'b0299', 'b0231', 'b0060', 'b3515', 'b3010', 'b2090', 'b2159', 'b4116', 'b0571', 'b0372', 'b2573', 'b1763', 'b0817', 'b4346', 'b2163', 'b1983', 'b0313', 'b4573', 'b3973', 'b2015', 'b0487', 'b2151', 'b1026', 'b2089', 'b0454', 'b1540'}"
GO_0003678,"{'b2820', 'b3813', 'b0799', 'b3652', 'b1860', 'b2822', 'b3822', 'b4052', 'b1808', 'b0962', 'b3935', 'b3778'}"
GO_0003680,{'b3357'}
GO_0003681,"{'b1000', 'b4172', 'b2916', 'b1237'}"
GO_0003682,set()
GO_0003684,"{'b4389', 'b1184', 'b0708', 'b1114', 'b2733', 'b0231', 'b0454', 'b2699', 'b3635', 'b0714'}"
GO_0003688,"{'b3702', 'b0687'}"
GO_0003689,"{'b1099', 'b0640'}"
GO_0003690,"{'b0051', 'b2531', 'b1731', 'b0413', 'b4178', 'b2186', 'b2761', 'b0393', 'b2783'}"
GO_0003697,"{'b4362', 'b4389', 'b0228', 'b1184', 'b1183', 'b4201', 'b4059', 'b0393', 'b0880', 'b0160', 'b1349', 'b3778', 'b2508', 'b0623', 'b3556', 'b1823', 'b3700', 'b0547', 'b1931', 'b3283', 'b2699', 'b2184', 'b1557', 'b2011'}"
GO_0003700,"{'b1735', 'b0683', 'b2087', 'b3071', 'b3569', 'b2157', 'b2405', 'b4241', 'b3243', 'b2707', 'b3884', 'b0330', 'b1275', 'b1187', 'b0506', 'b4191', 'b1770', 'b3357', 'b2667', 'b1450', 'b2561', 'b4393', 'b2805', 'b2634', 'b2921', 'b0464', 'b3418', 'b0768', 'b4366', 'b1439', 'b2220', 'b4046', 'b3938', 'b3422', 'b1988', 'b0629', 'b4300', 'b1422', 'b1642', 'b0064', 'b0846', 'b1384', 'b3585', 'b1328', 'b3773', 'b2808', 'b4324', 'b1339', 'b3237', 'b3963', 'b0034', 'b0730', 'b3292', 'b2577', 'b2735', 'b4327', 'b3912', 'b1531', 'b0081', 'b3684', 'b0305', 'b2213', 'b4479', 'b2709', 'b1799', 'b1530', 'b3743', 'b0020', 'b3129', 'b3131', 'b2409', 'b0840', 'b1649', 'b1499', 'b1526', 'b1853', 'b0603', 'b3961', 'b2101', 'b0694', 'b1013', 'b3481', 'b4102', 'b2382', 'b2427', 'b1595', 'b2554', 'b0504', 'b3905', 'b0566', 'b3375', 'b3501', 'b2839', 'b3226', 'b0900', 'b4480', 'b1334', 'b0620', 'b2537', 'b3264', 'b3516', 'b3954', 'b0162', 'b1014', 'b0113', 'b0076', 'b1969', 'b1162', 'b4118', 'b0254', 'b3872', 'b1659', 'b3604', 'b2980', 'b4063', 'b0208', 'b4357', 'b4340', 'b1696', 'b3521', 'b1827', 'b0676', 'b0564', 'b0338', 'b4498', 'b4062', 'b3169', 'b3680', 'b2289', 'b2531', 'b4396', 'b4178', 'b2714', 'b0546', 'b3711', 'b2684', 'b4089', 'b3828', 'b1434', 'b4124', 'b2437', 'b3906', 'b3261', 'b3105', 'b3515', 'b3755', 'b2664', 'b3010', 'b2090', 'b1987', 'b4116', 'b2916', 'b2127', 'b0817', 'b3060', 'b0313', 'b1284', 'b2364', 'b2015', 'b0316', 'b0487', 'b3094', 'b3118', 'b1790', 'b1540', 'b4401'}"
GO_0003711,{'b3406'}
GO_0003723,"{'b3186', 'b1135', 'b1718', 'b2791', 'b0416', 'b1086', 'b0528', 'b2759', 'b4022', 'b4532', 'b1719', 'b3407', 'b2566', 'b4172', 'b3783', 'b0051', 'b2318', 'b0611', 'b0423', 'b3180', 'b3162', 'b3984', 'b3309', 'b0911', 'b1343', 'b3317', 'b1276', 'b3321', 'b4225', 'b3780', 'b3228', 'b3556', 'b3166', 'b2185', 'b3316', 'b0800', 'b2745', 'b0143', 'b3314', 'b3651', 'b3606', 'b2594', 'b0195', 'b0058', 'b3704', 'b2316', 'b3169', 'b1637', 'b1269', 'b3723', 'b3056', 'b2758', 'b2757', 'b1831', 'b0880', 'b3164', 'b2610', 'b1237', 'b4347', 'b1835', 'b0623', 'b1823', 'b0797', 'b3590', 'b2760', 'b4539', 'b3400', 'b2533', 'b4179', 'b0233', 'b1557', 'b2827', 'b2183', 'b0225', 'b3499', 'b2785', 'b3341', 'b3339', 'b0242', 'b2567', 'b2532', 'b2576', 'b0884', 'b1084', 'b0948', 'b0118', 'b3247', 'b2696', 'b3303', 'b3298', 'b4403', 'b3980', 'b2782', 'b4180', 'b3083', 'b3205', 'b2581', 'b2620', 'b3289', 'b0023', 'b2756', 'b0183', 'b0967', 'b2669', 'b1286'}"
GO_0003724,"{'b2576', 'b1343', 'b0797', 'b1413', 'b0148', 'b3162', 'b3780'}"
GO_0003725,"{'b2712', 'b3282', 'b1267'}"
GO_0003727,"{'b0911', 'b2186', 'b3556', 'b0148', 'b3400'}"
GO_0003729,"{'b0911', 'b4532', 'b2316', 'b3341', 'b0051', 'b1276', 'b1716', 'b3314', 'b1831', 'b0118', 'b3407'}"
GO_0003730,"{'b0118', 'b1276', 'b1831'}"
GO_0003735,"{'b3186', 'b3304', 'b3294', 'b4203', 'b3311', 'b3983', 'b3986', 'b3302', 'b0169', 'b3985', 'b3320', 'b2606', 'b4506', 'b4202', 'b3185', 'b1717', 'b1716', 'b3301', 'b0296', 'b3342', 'b3315', 'b3984', 'b3936', 'b2609', 'b3636', 'b3309', 'b0911', 'b3341', 'b3297', 'b3703', 'b3306', 'b3305', 'b3317', 'b3308', 'b3318', 'b3299', 'b3319', 'b3321', 'b3065', 'b3303', 'b3298', 'b4200', 'b3312', 'b2185', 'b3316', 'b3231', 'b3165', 'b3296', 'b0023', 'b3314', 'b3307', 'b3230', 'b3637', 'b3310', 'b1089', 'b3313'}"
